,Latent_Dim47,category,description
"('cbcl_scr_syn_external_t', '1_year_follow_up_y_arm_1')",0.34416731917357585,Behavior,External CBCL Syndrome Scale (t-score)
"('cbcl_scr_dsm5_depress_r', '1_year_follow_up_y_arm_1')",0.32150617735924286,Behavior,Depress CBCL DSM5 Scale (raw score)
"('cbcl_scr_dsm5_depress_t', '1_year_follow_up_y_arm_1')",0.3214361959912779,Behavior,Depress CBCL DSM5 Scale (t-score)
"('cbcl_scr_syn_withdep_t', 'baseline_year_1_arm_1')",0.3141041358083104,Behavior,WithDep CBCL Syndrome Scale (t-score)
"('cbcl_scr_syn_withdep_r', 'baseline_year_1_arm_1')",0.31315597276289253,Behavior,WithDep CBCL Syndrome Scale (raw score)
"('cbcl_scr_syn_aggressive_t', '1_year_follow_up_y_arm_1')",0.30655719988864977,Behavior,Aggressive CBCL Syndrome Scale (t-score)
"('cbcl_scr_syn_withdep_t', '1_year_follow_up_y_arm_1')",0.2982719169525975,Behavior,WithDep CBCL Syndrome Scale (t-score)
"('asr_q12_p', 'baseline_year_1_arm_1')_0.0",-0.29783509248429085,Deep Phenotyping Assessments,I feel lonely Me siento solo(a)
"('asr_q103_p', 'baseline_year_1_arm_1')_0.0",-0.28651250428346775,Deep Phenotyping Assessments,"I am unhappy, sad, or depressed Me siento infeliz, triste o deprimido(a)"
"('cbcl_scr_syn_withdep_r', '1_year_follow_up_y_arm_1')",0.2862663259465382,Behavior,WithDep CBCL Syndrome Scale (raw score)
"('asr_q44_p', 'baseline_year_1_arm_1')_0.0",-0.2817321237827793,Deep Phenotyping Assessments,I feel overwhelmed by my responsibilities Me siento abrumado(a) con mis responsabilidades
"('asr_scr_avoidant_r', 'baseline_year_1_arm_1')_0.0",-0.28123032360635725,Deep Phenotyping Assessments,Avoidant Personality Problems ASR DSM-5-Oriented Scale (raw score)
"('sds_p_ss_total', '1_year_follow_up_y_arm_1')",0.28046193759953836,Medical History,Total Score (Sum of 6 Factors): sds_p_ss_dims + sds_p_ss_sbd + sds_p_ss_da + sds_p_ss_swtd + sds_p_ss_does + sds_p_ss_shy; Validation: All items must be answered
"('ple_p_ss_affect_sum', '1_year_follow_up_y_arm_1')",0.28038336812074566,Mental Health Summary,How Much Affected Sum
"('asr_scr_depress_t', 'baseline_year_1_arm_1')_50.0",-0.2756075741316444,Deep Phenotyping Assessments,Depressive Problems ASR DSM-5-Oriented Scale (t-score)
"('asr_scr_anxdep_t', 'baseline_year_1_arm_1')_50.0",-0.2721516404645725,Deep Phenotyping Assessments,Anxious/Depressed ASR Syndrome Scale (t-score)
"('asr_scr_avoidant_t', 'baseline_year_1_arm_1')_50.0",-0.2646250175986561,Deep Phenotyping Assessments,Avoidant Personality Problems ASR DSM-5-Oriented Scale (t-score)
"('asr_q12_p', 'baseline_year_1_arm_1')_1.0",0.26394532790134134,Deep Phenotyping Assessments,I feel lonely Me siento solo(a)
"('asr_scr_aggressive_r', 'baseline_year_1_arm_1')_0.0",-0.26355774220665984,Deep Phenotyping Assessments,Aggressive Behavior ASR Syndrome Scale (raw score)
"('cbcl_q12_p', 'baseline_year_1_arm_1')_0.0",-0.2626631256037669,Behavior,Complains of loneliness Se queja de que se siente solo(a)
