,Latent_Dim42,category,description
"('cbcl_scr_syn_somatic_r', '1_year_follow_up_y_arm_1')",-0.3152295237247713,Behavior,Somatic CBCL Syndrome Scale (raw score)
"('cbcl_scr_syn_somatic_t', '1_year_follow_up_y_arm_1')",-0.3034079469987482,Behavior,Somatic CBCL Syndrome Scale (t-score)
"('bpm_t_scr_attention_nm', 'baseline_year_1_arm_1')",0.292812184541886,Behavior,Number Missing Answers
"('bpm_t_ss_attention_nm', 'baseline_year_1_arm_1')",0.292812184541886,Behavior,Number Missing Answers
"('bpm_t_ss_totalprob_nm', 'baseline_year_1_arm_1')",0.2915062304824567,Behavior,Number Missing Answers
"('bpm_t_scr_totalprob_nm', 'baseline_year_1_arm_1')",0.2915062304824567,Behavior,Number Missing Answers
"('bpm_t_scr_internal_nm', 'baseline_year_1_arm_1')",0.2904456542803093,Behavior,Number Missing Answers
"('bpm_t_ss_internal_nm', 'baseline_year_1_arm_1')",0.2904456542803093,Behavior,Number Missing Answers
"('bpm_t_ss_external_nm', 'baseline_year_1_arm_1')",0.2903113112840875,Behavior,Number Missing Answers
"('bpm_t_scr_external_nm', 'baseline_year_1_arm_1')",0.2903113112840875,Behavior,Number Missing Answers
"('cbcl_scr_dsm5_somaticpr_r', '1_year_follow_up_y_arm_1')",-0.2725437263084105,Behavior,SomaticPr CBCL DSM5 Scale (raw score)
"('sds_p_ss_does', '1_year_follow_up_y_arm_1')",-0.24510556469885422,Medical History,Disorders of Excessive Somnolence (DOES) SUM:  sleepdisturb22_p + sleepdisturb23_p +  sleepdisturb24_p +  sleepdisturb25_p + sleepdisturb26_p; Validation: All items must be answered
"('sds_p_ss_dims', '1_year_follow_up_y_arm_1')",-0.23823404287423391,Medical History,Disorders of Initiating and Maintaining Sleep (DIMS) SUM:  sleepdisturb1_p +  sleepdisturb2_p + sleepdisturb3_p + sleepdisturb4_p + sleepdisturb5_p + sleepdisturb10_p + sleepdisturb11_p;  Validation: All items must be answered
"('cbcl_q87_p', '1_year_follow_up_y_arm_1')_0.0",0.2218084198973126,Behavior,Sudden changes in mood or feelings Súbitos cambios de humor o sentimientos
"('gen_child_behav_7', '1_year_follow_up_y_arm_1')_0.0",0.22134906403759463,Deep Phenotyping Assessments,"Have you ever found that your child's feelings or energy are generally up or down, but rarely in the middle?  ¿Ha notado que los sentimientos o los niveles de energía de su niño(a) generalmente son altos o bajos, pero rara vez se encuentran en un punto medio?"
"('gen_child_behav_8', '1_year_follow_up_y_arm_1')_0.0",0.21282966681129634,Deep Phenotyping Assessments,"Has your child had periods lasting several days or more when he/she felt depressed or irritable, and then other periods of several days or more when he/she felt extremely high, elated, and overflowing with energy? ¿Su niño(a) ha tenido períodos de varios días o más en los que se ha sentido deprimido(a) o irritable, y luego otros períodos de varios días o más en los que se ha sentido extremadamente eufórico(a), entusiasmado(a) y desbordante de energía?"
"('cbcl_q100_p', '1_year_follow_up_y_arm_1')_0.0",0.205792570316427,Behavior,Trouble sleeping No duerme bien
"('ksads_2_10_p', 'baseline_year_1_arm_1')_0.0",0.19910266023996098,Diagnostic (KSADS),Symptom - ExplosiveIrritability PresentNext ξ
"('ksads_2_10_p', 'baseline_year_1_arm_1')_1.0",-0.19910266023996093,Diagnostic (KSADS),Symptom - ExplosiveIrritability PresentNext ξ
"('cbcl_q33_p', 'baseline_year_1_arm_1')_0.0",0.19153585645859725,Behavior,Feels or complains that no one loves them
"('cbcl_q56f_p', '1_year_follow_up_y_arm_1')_0.0",0.19131114859463413,Behavior,Stomachaches Dolores de estómago
"('gen_child_behav_8', '1_year_follow_up_y_arm_1')_1.0",-0.19040458564827925,Deep Phenotyping Assessments,"Has your child had periods lasting several days or more when he/she felt depressed or irritable, and then other periods of several days or more when he/she felt extremely high, elated, and overflowing with energy? ¿Su niño(a) ha tenido períodos de varios días o más en los que se ha sentido deprimido(a) o irritable, y luego otros períodos de varios días o más en los que se ha sentido extremadamente eufórico(a), entusiasmado(a) y desbordante de energía?"
"('cbcl_q87_p', 'baseline_year_1_arm_1')_2.0",-0.1876597881910119,Behavior,Sudden changes in mood or feelings Súbitos cambios de humor o sentimientos
"('ksads_1_188_t', 'baseline_year_1_arm_1')_0.0",-0.18320880320208882,Diagnostic (KSADS),"Symptom - No two month symptom-free interval, Past"
"('ksads_1_188_t', 'baseline_year_1_arm_1')_1.0",0.18320880320208882,Diagnostic (KSADS),"Symptom - No two month symptom-free interval, Past"
"('gen_child_behav_9', 'baseline_year_1_arm_1')_0.0",0.18252693416490104,Deep Phenotyping Assessments,"Have there been periods when, although your child was feeling unusually happy and intensely energetic, almost everything got on his/her nerves and made him/her irritable or angry (other than related to the menstrual cycle)? ¿Han habido períodos (no relacionados con el ciclo menstrual) en los que, a pesar de sentirse inusualmente feliz y con un nivel intenso de energía, casi todo lo/la sacaba de quicio o lo/la hacía sentirse irritable o enojado(a)?"
"('tfmri_nb_r1_beh_c2bnf_stdrt', 'baseline_year_1_arm_1')",-0.18074042358088585,Neuropsychological Tests,Standard deviation of the reaction time for all correct responses to 2 back with neutral face stimuli during run 1
"('ksads_1_188_p', 'baseline_year_1_arm_1')_0.0",-0.18045027851786163,Diagnostic (KSADS),Symptom - No two month symptom-free interval Past
"('ksads_1_188_p', 'baseline_year_1_arm_1')_1.0",0.18045027851786158,Diagnostic (KSADS),Symptom - No two month symptom-free interval Past
"('cbcl_q33_p', 'baseline_year_1_arm_1')_1.0",-0.18010215988377717,Behavior,Feels or complains that no one loves them
"('ksads_15_432_p', '1_year_follow_up_y_arm_1')_0.0",0.17971685668051232,Diagnostic (KSADS),Symptom - Often touchy or easily annoyed Present
"('ksads_15_432_p', '1_year_follow_up_y_arm_1')_1.0",-0.17971685668051232,Diagnostic (KSADS),Symptom - Often touchy or easily annoyed Present
